Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S23559384,Ornate Tinamou,Nothoprocta ornata,106,X,PE-HUC,,L3661143,On steep puna,-10.347202,-76.839645,2013-06-11,,Historical,0,0,,,1
S23560485,Great Tinamou,Tinamus major,126,X,PA-3,,L3661129,Panama Rainforest Discovery Center,9.131179,-79.724107,2014-01-13,,Historical,0,0,,,3
S28841555,Cinereous Tinamou,Crypturellus cinereus,151,1,PE-SAM,,L4470310,Flor de Café road,-7.131424,-76.046984,2012-08-28,,Historical,0,0,,,1,,"Found a chick, alone, on the side of the road. We left it where it was, but later found out that a trucker had picked it up and taken it as a pet.",,53023251 53023261 53023271
S28841551,Little Tinamou,Crypturellus soui,174,X,PE-SAM,,L4470289,Selva Andina - near PNCAZ PC 19,-7.3956,-76.221,2013-08-22,,Historical,0,0,,,1
S23635886,Horned Screamer,Anhima cornuta,232,X,PE-LOR,,L3672806,Pacaya Samiria,-4.507084,-73.487785,2012-08-04,,Historical,0,0,,,1
S236329620,White-faced Whistling-Duck,Dendrocygna viduata,240,8,ZM-05,,L40688192,South Luangwa NP - Lupunga Spur,-13.076,31.74,2025-05-10,06:14 AM,eBird - Traveling Count,266,1,45.161,,1,,,Morning safari drive from FlatDogs camp. With Kennedy. Also saw a Gray-headed sparrow but unsure if southern or northern. And several others left unidentified
S53169140,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,150,US-LA,Orleans,L366370,Audubon Park,29.9253976,-90.128804,2019-02-26,02:14 PM,eBird - Traveling Count,67,1,2.36,,1
S23635626,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,X,PA-3,,L3672801,Road from Gamboa to PRDC,9.124962,-79.714578,2014-01-13,,Historical,0,0,,,1
S42501887,Snow Goose,Anser caerulescens,267,1,US-CA,Alameda,L597003,Berkeley Aquatic Park,37.855813,-122.2977448,2018-02-04,04:45 PM,eBird - Stationary Count,3,1,,,1
S42662089,Snow Goose,Anser caerulescens,267,1,US-CA,Alameda,L597003,Berkeley Aquatic Park,37.855813,-122.2977448,2018-02-10,05:45 PM,eBird - Casual Observation,,0,,,1
S54483753,Snow Goose,Anser caerulescens,267,300,CA-QC,Le Haut-Richelieu,L8960807,"702–754 Rte Principale, Saint-Sébastien CA-QC (45.1238,-73.1243)",45.123819,-73.124256,2019-03-30,11:11 AM,eBird - Casual Observation,,0,,,1,,"Very rough estimate while driving by, but conservative "
S23635588,Snow Goose,Anser caerulescens,267,X,CA-ON,Leeds and Grenville,L3672762,Along 401,44.66093,-75.614071,2013-04-03,,Historical,0,0,,,1
S24418342,Snow Goose,Anser caerulescens,267,4,CA-QC,Montréal,L3775282,Parc René-Lévesque,45.4285655,-73.6812991,2015-07-29,09:52 AM,eBird - Traveling Count,24,1,2.,,1,,"I was surprised to see them here at this time of year, and on previous visits to the park I thought they might be a domestic goose or a hybrid, but this time it was easy to see the pink legs, the black wingtips (which I couldn't see on a previous visit because they weren't upright), the pink beak, and the dark ""smile patch""","<br />Submitted from eBird for iOS, version 1.0.1 Build 5",137601151
S24947302,Snow Goose,Anser caerulescens,267,4,CA-QC,Montréal,L3775282,Parc René-Lévesque,45.4285655,-73.6812991,2015-09-08,07:30 AM,eBird - Traveling Count,5,1,2.,,1,,,biking the loop
