common_name,latin_binomial,tax_order,notes
Fulvous Whistling-Duck,Dendrocygna bicolor,1,Rare/Accidental
Snow Goose,Anser caerulescens,2,
Ross's Goose,Anser rossii,3,Rare/Accidental
Greater White-fronted Goose,Anser albifrons,4,
Pink-footed Goose,Anser brachyrhynchus,5,Rare/Accidental
Brant,Branta bernicla,6,
Barnacle Goose,Branta leucopsis,7,Rare/Accidental
Cackling Goose,Branta hutchinsii,8,
Canada Goose,Branta canadensis,9,
Mute Swan,Cygnus olor,10,Introduced species
Trumpeter Swan,Cygnus buccinator,11,Rare/Accidental
Tundra Swan,Cygnus columbianus,12,
Wood Duck,Aix sponsa,13,
Garganey,Spatula querquedula,14,Rare/Accidental
Blue-winged Teal,Spatula discors,15,
Northern Shoveler,Spatula clypeata,16,
Gadwall,Mareca strepera,17,
Eurasian Wigeon,Mareca penelope,18,Rare/Accidental
American Wigeon,Mareca americana,19,
Mallard,Anas platyrhynchos,20,
American Black Duck,Anas rubripes,21,
Northern Pintail,Anas acuta,22,
Green-winged Teal,Anas crecca,23,
Canvasback,Aythya valisineria,24,
Redhead,Aythya americana,25,
Ring-necked Duck,Aythya collaris,26,
Tufted Duck,Aythya fuligula,27,Rare/Accidental
Greater Scaup,Aythya marila,28,
Lesser Scaup,Aythya affinis,29,
King Eider,Somateria spectabilis,30,Rare/Accidental
Common Eider,Somateria mollissima,31,Rare/Accidental Near-threatened
Harlequin Duck,Histrionicus histrionicus,32,
Surf Scoter,Melanitta perspicillata,33,
White-winged Scoter,Melanitta fusca,34,
Black Scoter,Melanitta americana,35,Near-threatened
Long-tailed Duck,Clangula hyemalis,36,Vulnerable
Bufflehead,Bucephala albeola,37,
Common Goldeneye,Bucephala clangula,38,
Barrow's Goldeneye,Bucephala islandica,39,
Hooded Merganser,Lophodytes cucullatus,40,
Common Merganser,Mergus merganser,41,
Red-breasted Merganser,Mergus serrator,42,
Ruddy Duck,Oxyura jamaicensis,43,
Northern Bobwhite,Colinus virginianus,44,Near-threatened
Ring-necked Pheasant,Phasianus colchicus,45,Introduced species
Gray Partridge,Perdix perdix,46,Introduced species
Ruffed Grouse,Bonasa umbellus,47,
Spruce Grouse,Falcipennis canadensis,48,
Willow Ptarmigan,Lagopus lagopus,49,Rare/Accidental
Wild Turkey,Meleagris gallopavo,50,
Red-throated Loon,Gavia stellata,51,
Arctic Loon,Gavia arctica,52,Rare/Accidental
Pacific Loon,Gavia pacifica,53,Rare/Accidental
Common Loon,Gavia immer,54,
Pied-billed Grebe,Podilymbus podiceps,55,
Horned Grebe,Podiceps auritus,56,Vulnerable
Red-necked Grebe,Podiceps grisegena,57,
Eared Grebe,Podiceps nigricollis,58,Rare/Accidental
Northern Fulmar,Fulmarus glacialis,59,Rare/Accidental
Cory's Shearwater,Calonectris diomedea,60,Rare/Accidental
Great Shearwater,Ardenna gravis,61,Rare/Accidental
Wilson's Storm-Petrel,Oceanites oceanicus,62,Rare/Accidental
